N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,mean
Дата тестирования,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2023,17.10.2024,17.10.2025,17.10.2026,17.10.2027,17.10.2028,17.10.2029,17.10.2030,
Полных лет,19,19,18,19,19,18,18,18,19,19,19,19,19,20,19,19,19,18,19,19,19,19,29,18,19,
Группа,1223д,1223д,1228д,1227,1228д,1228д,1228д,1228д,1228д,1228д,1223д,1228д,1228д,1228д,1228д,1223д,1228д,1223,1223д,1223д,1223д,1228д,1228д,1226д,1227,
Активная деятельная жизнь,15,1,1,8,11,10,2,1,4,5,15,10,7,3,1,3,14,11,15,12,10,9,11,15,12,8.24
Жизненная мудрость,17,13,10,3,8,2,7,4,5,1,10,11,7,2,1,7,17,5,14,1,2,10,12,2,14,7.4
Здоровье,1,5,4,4,7,1,1,16,1,1,6,3,3,13,1,1,8,12,2,8,1,3,4,3,2,4.44
Интересная работа,16,14,9,12,15,9,8,9,11,5,5,13,3,14,2,5,6,15,5,11,11,7,5,19,11,9.6
Красота природы и искусства,15,18,14,13,13,8,13,6,12,1,4,14,3,13,12,13,11,13,1,13,18,6,18,13,10,11.0
Любовь,2,4,7,5,1,13,9,15,6,3,3,6,10,9,9,4,2,2,3,10,4,5,2,11,1,5.84
Материально обеспеченная жизнь,9,2,2,11,4,11,10,14,3,3,2,1,10,16,8,8,4,2,6,16,3,4,3,7,17,7.04
Наличие хороших и верных друзей,5,8,8,6,18,12,11,10,10,1,16,9,7,11,14,9,5,8,4,9,9,11,10,14,3,9.12
Общественное призвание,13,7,17,10,7,13,16,13,13,3,17,17,15,12,11,14,12,16,12,15,17,18,17,10,15,13.2
Познание,6,12,11,9,9,7,12,2,14,1,14,8,7,1,3,15,18,10,11,5,12,17,15,6,9,9.36
Продуктивная жизнь,10,11,5,7,16,14,14,9,9,1,7,12,7,4,4,6,7,9,10,6,5,12,7,9,8,8.36
Развитие,7,17,18,15,10,6,6,5,2,1,12,2,5,5,5,10,13,4,9,4,8,2,13,1,7,7.48
Развлечения,12,15,16,14,11,17,1,12,17,3,11,18,7,18,7,16,3,18,17,17,15,13,10,18,16,12.88
Свобода,8,9,6,1,6,3,5,3,7,1,8,4,1,6,6,11,1,3,8,14,6,14,1,5,4,5.64
Счастливая семейнная жизнь,4,10,3,16,3,15,15,11,16,1,9,5,15,10,10,2,15,6,1,2,7,15,8,4,13,8.64
Счастье других,18,16,18,17,2,16,17,8,18,1,18,16,3,7,13,18,16,14,16,3,18,3,9,17,18,12.8
Творчество,12,3,15,18,12,4,3,7,15,1,13,15,3,17,1,17,15,17,13,18,13,1,14,16,5,10.72
Уверенность в себе,3,6,13,2,5,5,4,1,8,1,1,7,3,8,1,12,9,1,7,7,14,6,6,8,6,5.76
Аккуратность,2,11,7,15,3,6,11,11,15,3,14,15,10,14,15,11,9,17,2,6,16,2,11,13,8,9.88
Воспитанность,3,15,6,8,5,7,4,9,16,2,5,11,10,13,7,2,6,11,1,5,5,1,4,4,2,6.48
Высокие запросы,10,17,5,17,11,14,12,10,17,2,10,10,10,18,18,17,1,3,18,18,17,18,12,15,16,12.64
Жизнерадостность,16,16,8,7,17,1,2,6,14,1,1,16,7,8,6,10,8,2,15,1,4,11,6,14,6,8.12
Исполнительность,17,2,17,14,14,8,15,7,18,3,17,18,7,15,17,16,7,16,3,15,7,12,15,5,17,12.08
Независимость,1,7,2,13,18,2,3,1,4,2,4,1,1,12,12,12,14,1,17,14,6,15,8,6,7,7.32
Нипримиримость к недостаткам в себе и других,18,18,10,18,4,15,16,15,13,5,11,17,10,17,16,18,16,18,16,17,18,13,17,16,18,14.8
Образованность,13,8,9,6,2,16,5,1,3,1,2,2,3,7,3,5,10,12,14,7,2,3,3,7,10,6.16
Ответственность,14,1,14,5,8,3,6,8,6,1,16,3,5,2,4,4,15,10,14,9,12,4,7,8,9,7.52
Рационализм,7,9,3,4,11,9,13,2,5,1,6,12,3,3,13,15,12,13,5,2,11,14,16,1,4,7.76
Самоконтроль,6,12,11,1,13,10,11,12,12,1,12,4,5,4,14,1,18,4,6,3,1,5,2,2,5,7.0
Смелость в отстаивании своего мнения и взглядов,6,5,1,9,15,17,14,3,7,1,7,9,1,5,8,5,2,5,12,4,10,6,9,12,3,7.04
Твердая воля,4,14,15,12,1,12,8,13,2,3,8,5,1,6,9,14,3,15,13,10,9,7,14,9,11,8.72
Терпимость,15,6,16,11,2,11,7,14,9,2,15,14,1,9,10,7,13,9,11,11,15,16,13,17,12,10.64
Широта взглядов,11,13,13,2,9,18,10,4,8,1,18,6,3,10,11,6,17,7,7,12,8,17,5,10,14,9.6
Честность,12,3,12,3,2,4,1,8,1,2,13,7,1,1,1,8,4,6,8,8,13,8,1,11,1,5.56
Эффективность в делах,9,10,11,16,10,13,18,5,11,2,3,8,5,16,2,9,11,8,10,13,3,10,10,3,15,9.24
Чуткость,8,4,4,10,6,5,9,16,10,1,9,15,5,11,15,13,5,14,9,16,14,9,18,18,13,10.28
