N,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mean
Дата тестирования,19.10.2032,19.10.2032,19.10.2033,19.10.2034,19.10.2035,19.10.2036,19.10.2037,19.10.2038,19.10.2039,19.10.2040,19.10.2041,19.10.2042,19.10.2043,19.10.2044,19.10.2045,19.10.2046,19.10.2047,19.10.2048,19.10.2049,19.10.2050,19.10.2051,19.10.2052,19.10.2053,19.10.2054,19.10.2055,
Полных лет,18,19,18,18,20,19,19,19,19,18,18,19,19,18,19,19,19,18,19,18,19,19,19,20,19,
Группа,3217д,3217д,3217д,3217д,3217д,3217,3217д,3217д,3217д,3217,3217д,3217д,3217д,3217д,3221д,3221д,3221д,3221д,3221д,3221,3221д,3221д,3221д,3221д,3221д,
Активная деятельная жизнь,8,18,3,4,15,14,14,1,10,13,3,4,13,13,6,16,8,6,1,10,6,8,13,3,8,8.72
Жизненная мудрость,5,10,5,3,16,12,9,12,3,7,15,14,16,5,7,15,16,5,3,7,10,6,12,6,14,9.32
Здоровье,1,2,2,1,4,1,4,7,4,4,4,5,1,4,1,2,7,3,2,3,9,1,4,4,2,3.28
Интересная работа,1,11,4,2,2,6,18,18,18,5,13,15,12,12,14,13,15,14,9,5,13,16,5,5,18,10.56
Красота природы и искусства,10,16,6,8,13,13,17,13,5,16,14,16,8,15,18,14,18,17,14,6,5,17,11,2,3,11.8
Любовь,15,12,8,18,1,9,5,15,10,1,1,2,10,2,5,13,6,2,4,4,1,9,2,7,7,6.76
Материально обеспеченная жизнь,1,4,1,10,11,7,12,9,6,2,12,13,7,1,2,1,11,1,8,2,14,2,14,14,1,6.64
Наличие хороших и верных друзей,3,15,7,2,3,2,8,8,17,3,10,1,15,9,8,3,5,7,12,8,2,7,6,15,9,7.4
Общественное призвание,15,14,9,11,12,15,13,14,11,17,11,6,17,17,11,11,13,15,7,9,8,10,18,16,15,12.6
Познание,2,5,10,5,14,3,6,10,7,12,5,3,6,11,9,8,12,12,15,11,8,11,7,8,13,8.52
Продуктивная жизнь,4,13,11,6,17,10,7,2,12,15,6,7,11,16,12,18,11,8,17,12,11,13,15,9,10,10.92
Развитие,2,6,12,7,9,8,3,3,2,11,8,8,4,3,13,17,4,13,5,13,12,12,10,10,4,7.96
Развлечения,2,7,13,9,8,16,15,11,13,10,7,12,5,10,10,7,10,9,16,14,17,18,17,17,16,11.56
Свобода,1,1,14,15,18,11,11,4,14,9,9,9,3,6,4,4,3,11,10,15,7,5,1,11,5,8.04
Счастливая семейнная жизнь,18,8,15,17,7,4,1,16,8,8,5,17,9,14,16,5,2,4,11,16,3,4,3,18,11,9.6
Счастье других,15,9,17,12,10,17,18,17,15,18,16,18,18,18,15,10,17,18,13,17,4,3,8,12,17,14.08
Творчество,6,17,18,13,5,18,16,5,16,14,17,10,14,7,17,9,3,16,18,18,15,15,16,1,12,12.64
Уверенность в себе,1,3,15,14,6,5,2,6,9,16,2,11,2,8,3,6,1,10,6,1,16,14,19,3,6,7.4
Аккуратность,5,18,3,17,17,17,5,2,18,2,10,8,6,13,17,9,2,5,5,1,6,10,9,6,13,8.96
Воспитанность,2,1,2,9,2,2,2,8,6,3,8,9,5,4,11,8,1,4,4,3,1,9,1,5,6,4.64
Высокие запросы,10,16,12,18,15,15,18,10,5,5,18,11,15,14,18,17,17,17,13,12,18,17,18,10,12,14.04
Жизнерадостность,3,7,4,1,5,5,9,3,7,4,3,15,3,5,16,7,3,7,18,4,2,8,15,11,11,7.04
Исполнительность,1,11,10,10,16,6,10,9,8,6,11,16,7,12,12,14,4,6,2,11,17,7,16,17,14,10.12
Независимость,2,12,11,11,14,16,11,1,11,1,1,10,4,1,14,11,5,16,17,9,13,6,10,7,16,9.2
Нипримиримость к недостаткам в себе и других,11,15,18,16,13,18,17,12,12,17,17,17,16,11,15,15,18,18,3,10,7,18,17,18,15,14.56
Образованность,3,2,5,12,12,1,1,14,13,7,12,2,2,6,7,12,7,9,14,2,5,11,2,8,5,6.96
Ответственность,2,3,6,13,6,7,3,11,9,9,4,1,17,7,1,1,6,8,1,5,8,5,3,9,4,5.96
Рационализм,1,4,7,14,3,8,6,13,4,16,15,12,1,8,2,2,8,1,6,7,10,12,11,4,3,7.12
Самоконтроль,1,5,13,15,8,9,7,4,11,18,7,3,18,10,3,4,9,15,7,6,9,13,12,15,2,8.96
Смелость в отстаивании своего мнения и взглядов,4,6,17,3,7,11,12,6,3,15,6,4,9,2,8,3,10,10,15,8,15,10,4,14,10,8.48
Твердая воля,1,17,14,2,11,10,13,15,2,12,5,5,10,15,10,16,11,14,8,14,16,14,13,13,1,10.48
Терпимость,10,13,15,4,9,3,16,5,14,11,16,13,12,16,4,10,13,11,10,13,11,4,14,12,9,10.72
Широта взглядов,1,9,16,5,4,12,15,16,15,10,14,14,11,17,9,13,14,12,9,15,12,3,5,1,8,10.4
Честность,4,8,1,6,1,4,4,18,1,8,2,18,13,3,5,5,12,2,10,16,4,2,6,2,7,6.48
Эффективность в делах,10,10,8,8,18,13,8,17,10,13,13,7,14,18,13,18,15,13,12,17,14,15,8,16,17,13.0
Чуткость,2,4,9,7,10,14,14,7,16,14,9,6,8,9,6,6,16,3,11,18,3,1,7,3,18,8.84
